Name,PlayerID,Team,Start_year,End_year,inactive,handed
Erick Fedde,feddeer01,???,2016,2025,0,R
Jack Flaherty,flaheja01,???,2017,2025,0,R
Bowden Francis,francbo01,???,2019,2025,0,R
Kyle Freeland,freelky01,COL,2018,2025,0,L
Andrew Abbott,abbotan01,CIN,2023,2025,0,L
Sandy Alcantara,alcansa01,MIA,2017,2025,2024,R
Logan Allen,allenlo01,CLE,2019,2025,0,L
Tyler Anderson,anderty01,LAA,2016,2025,0,L
Chris Bassitt,bassich01,TOR,2014,2025,0,R
Shane Baz,bazsh01,TBR,2021,2025,0,R
Brayan Bello,bellobr01,BOS,2022,2025,0,R
Jose Berrios,berrijo01,TOR,2016,2025,0,R
Tanner Bibee,bibeeta01,CLE,2023,2025,0,R
Osvaldo Bido,bidoos01,OAK,2023,2025,0,R
Ronel Blanco,blancro01,HOU,2022,2025,0,R
Matthew Boyd,boydma01,???,2015,2025,0,L
Taj Bradley,bradlta01,TBR,2025,2025,0,R
Ben Brown,brownbe02,???,2025,2025,0,R
Kris Bubic,bubickr01,KC,2019,2025,0,R
Sean Burke,burkese01,CHW,2025,2025,0,R
Corbin Burnes,burneco01,??? ,2018,2025,0,R
Edward Cabrera,cabreed02,MIA,2022,2025,0,R
Griffin Canning,cannigr01,???,2022,2025,0,R
Jonathan Cannon,cannojo02,???,2025,2025,0,R
Luis Castillo,castilu02,SEA,2017,2025,0,R
Ryne Nelson,nelsory01,ARI,2022,2025,0,R
Spencer Strider,stridsp01,ATL,2021,2025,0,R
AJ Smith-Shawver,smithaj01,ATL,2023,2025,0,R
Trevor Rogers,rogertr01,BAL,2020,2025,0,L
Tanner Houck,houckta01,BOS,2020,2025,0,R
Colin Rea,reaco01,CHC,2020,2025,0,R
Shota Imanaga,imanash01,CHC,2024,2025,0,R
Cade Horton,hortoca01,CHC,2025,2025,0,R
Adrian Houser,housead01,CHW,2018,2025,0,R
Aaron Civale,civalaa01,CIN,2019,2025,0,R
Chase Burns,burnsch01,CIN,2025,2025,0,R
Slade Cecconi,ceccosl01,CLE,2023,2025,0,R
Ben Lively,livelbe01,CLE,2017,2025,0,R
German Marquez,marquge01,COL,2016,2025,0,R
Austin Gomber,gombeau01,COL,2018,2025,2019,L
Carson Palmquist,palmqca01,COL,2025,2025,0,L
Ryan Feltner,feltnry01,COL,2021,2025,0,R
Keider Montero,monteke01,DET,2024,2025,0,R
Reese Olson,olsonre01,DET,2023,2025,0,R
Colton Gordon,gordoco01,HOU,2025,2025,0,L
Brandon Walter,waltebr01,HOU,2023,2025,2024,L
Lance McCullers Jr.,mcculla02,HOU,2025,2025,0,R
Hayden Wesneski,wesneha01,HOU,2022,2025,0,R
Noah Cameron,camerno01,KC,2025,2025,0,L
Cole Ragans,raganco01,KC,2022,2025,0,L
Landon Knack,knackla01,LAD,2024,2025,0,R
Roki Sasaki,sasakro01,LAD,2025,2025,0,R
Shohei Ohtani,ohtansh01,LAD,2018,2025,2024,R
Eury Perez,perezeu02,MIA,2023,2025,2024,R
Quinn Priester,priesqu01,MIL,2023,2025,0,R
Jose Quintana,quintjo01,MIL,2012,2025,0,L
Jacob Misiorowski,misioja01,MIL,2025,2025,0,R
Simeon Woods Richardson,woodssi01,MIN,2022,2025,0,R
Pablo Lopez,lopezpa01,MIN,2018,2025,0,R
David Festa,festada01,MIN,2024,2025,0,R
Frankie Montas,montafr02,NYM,2015,2025,2016,R
Marcus Stroman,stromma01,NYY,2014,2025,0,R
Jacob Lopez,lopezja04,OAK,2023,2025,0,L
Ranger Suarez,suarera01,PHI,2018,2025,0,L
Mick Abel,abelmi01,PHI,2025,2025,0,R
Mike Burrows,burromi01,PIT,2024,2025,0,R
Carmen Mlodzinski,mlodzca01,PIT,2023,2025,0,R
Stephen Kolek,kolekst01,SDP,2024,2025,0,R
Michael King,kingmi01,SDP,2019,2025,0,R
Logan Gilbert,gilbelo01,SEA,2021,2025,0,R
George Kirby,kirbyge01,SEA,2022,2025,0,R
Logan Evans,evanslo01,SEA,2025,2025,0,R
Bryce Miller,millebr04,SEA,2023,2025,0,R
Jordan Hicks,hicksjo03,SFG,2018,2025,0,R
Hayden Birdsong,birdsha01,SFG,2024,2025,0,R
Miles Mikolas,mikolmi01,STL,2018,2025,0,R
Kumar Rocker,rockeku01,TEX,2024,2025,0,R
Eric Lauer,lauerer01,TOR,2018,2025,0,L
Michael Soroka,sorokmi01,WSH,2023,2025,0,R
Zebby Matthews,matthze01,MIN,2024,2024,0,R
Joey Wentz,wentzjo01,PIT,2022,2025,0,L
Taijuan Walker,walketa01,PHI,2013,2025,0,R
Emmet Sheehan,sheehem01,LAD,2023,2025,2024,R
Ranger Suárez,suarera01,PHI,2018,2025,0,L
Janson Junk,junkja01,MIA,2021,2025,0,R
Grant Taylor,taylogr02,CHW,2025,2025,0,R
J.T. Ginn,ginnjt01,OAK,2024,2025,0,R
Cole Sands,sandsco01,MIN,2022,2025,0,R
Joey Cantillo,cantijo01,CLE,2024,2025,0,L
Brandon Woodruff,woodrbr01,MIL,2017,2025,2024,R
Eury Pérez,perezeu02,MIA,2023,2025,2024,R
Michael McGreevy,mcgremi01,STL,2024,2025,0,R
Brad Lord,lordbr02,WSH,2025,2025,0,R
Richard Fitts,fittsri01,BOS,2024,2025,0,R
Rich Hill,hillri01,BOS,2016,2025,0,L
Cam Schlittler,schlica01,NYY,2025,2025,0,R
Troy Melton,meltotr01,DET,2025,2025,0,R
Bradley Blalock,blalobr01,COL,2024,2025,0,R
